City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Khatanga,RU,52.56,overcast clouds,71.9667,102.5,"""Khatanga"""
14,Witbank,ZA,58.53,overcast clouds,-25.8713,29.2332,ANEW Hotel Witbank eMalahleni
16,Aklavik,CA,57.2,shower rain,68.2191,-135.0107,Aklavik Inn
21,Port Alfred,ZA,58.21,clear sky,-33.5906,26.891,The Halyards Hotel
37,Lebu,CL,53.53,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
38,Ketchikan,US,55.87,overcast clouds,55.3422,-131.6461,Snow's Cove Lodge
41,Vardo,NO,57.18,clear sky,70.3705,31.1107,Vardø Hotel AS
42,Fortuna,US,58.66,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
43,Nanortalik,GL,52.34,clear sky,60.1432,-45.2371,Hotel Kap Farvel
69,Port Hardy,CA,55.58,overcast clouds,50.6996,-127.4199,Airport Inn-Port Hardy
74,Bisert,RU,53.58,broken clouds,56.8617,59.0523,
77,Inuvik,CA,56.16,light rain,68.3499,-133.7218,Nova Inn Inuvik
78,Rocha,UY,58.98,broken clouds,-34.4833,-54.3333,Hotel Arrarte
81,Gerede,TR,53.64,clear sky,40.8008,32.1969,Hotel Konuk
84,Cape Town,ZA,56.12,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
93,Byron Bay,AU,58.96,light rain,-28.65,153.6167,Backpackers Inn
101,Hofn,IS,55.42,broken clouds,64.2539,-15.2082,Hótel Höfn
102,Songjianghe,CN,59.45,overcast clouds,42.1859,127.479,Sijisheng Fashion Guest House
113,Talnakh,RU,52.21,light rain,69.4865,88.3972,Talnakh Hotel
114,Busselton,AU,57.99,broken clouds,-33.65,115.3333,Observatory Guest House
117,Batemans Bay,AU,53.1,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
127,Mnogovershinnyy,RU,51.08,overcast clouds,53.9353,139.9242,Obshchezhitiye 14
128,Klaksvik,FO,50.92,broken clouds,62.2266,-6.589,Airbnb rooms
133,Melipilla,CL,54.41,clear sky,-33.7,-71.2167,Hotel Los Troncos
139,Grindavik,IS,57.15,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
147,Airai,TL,55.67,overcast clouds,-8.9266,125.4092,
160,Sandwick,GB,55.22,broken clouds,60.0,-1.25,Beach House Self-Catering Accomodation
161,Tuktoyaktuk,CA,51.8,light rain,69.4541,-133.0374,End of The Road Ltd.
169,East London,ZA,56.34,clear sky,-33.0153,27.9116,Tu Casa
177,Severo-Kurilsk,RU,52.77,moderate rain,50.6789,156.125,Kak Doma
179,Tynset,NO,58.21,overcast clouds,62.2759,10.7824,Tynset Rooms & Camping
182,Predivinsk,RU,57.6,overcast clouds,57.0669,93.4378,
191,Sorland,NO,53.46,light rain,67.667,12.6934,Sjybrygga fiskecamp
193,Mar Del Plata,AR,53.94,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
209,Havoysund,NO,57.43,light rain,70.9963,24.6622,Arctic View Glamping & Restaurant
219,Milkovo,RU,55.53,clear sky,54.7167,158.6167,"Hotel ""Geologist"""
